Assembly	contigs	scaffolds
# contigs (>= 0 bp)	511	489
# contigs (>= 1000 bp)	148	145
# contigs (>= 5000 bp)	80	79
# contigs (>= 10000 bp)	68	66
# contigs (>= 25000 bp)	50	50
# contigs (>= 50000 bp)	33	34
Total length (>= 0 bp)	5318238	5320536
Total length (>= 1000 bp)	5210176	5213481
Total length (>= 5000 bp)	5048545	5055646
Total length (>= 10000 bp)	4963240	4963850
Total length (>= 25000 bp)	4682777	4720027
Total length (>= 50000 bp)	4046371	4126758
# contigs	200	209
Largest contig	300784	300784
Total length	5246662	5258138
GC (%)	50.53	50.51
N50	111666	111666
N90	24304	24488
auN	129210.0	129849.0
L50	15	15
L90	52	51
# N's per 100 kbp	0.00	45.03
