#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
hw2/spades/scaffolds.fasta	NODE_111_length_2156_cov_127.505474	321	1280	+	stx2A	1-960/960	===============	0/0	100.00	99.90	vfdb	NP_286976	(stx2A) shiga-like toxin II A subunit encoded by bacteriophage BP-933W [Stx (VF0206)] [Escherichia coli O157:H7 str. EDL933]	
hw2/spades/scaffolds.fasta	NODE_111_length_2156_cov_127.505474	1292	1561	+	stx2B	1-270/270	===============	0/0	100.00	100.00	vfdb	NP_286977	(stx2B) shiga-like toxin II B subunit encoded by bacteriophage BP-933W [Stx (VF0206)] [Escherichia coli O157:H7 str. EDL933]	
hw2/spades/scaffolds.fasta	NODE_11_length_144778_cov_71.413390	39610	41190	+	espX4	1-1581/1581	========/======	2/2	99.94	92.98	vfdb	NP_290672	(espX4) Type III secretion system effector EspX4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
hw2/spades/scaffolds.fasta	NODE_11_length_144778_cov_71.413390	70717	72009	-	espX5	1-1293/1293	===============	0/0	100.00	95.67	vfdb	NP_290699	(espX5) Type III secretion system effector EspX5 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
hw2/spades/scaffolds.fasta	NODE_13_length_119171_cov_73.139864	164	934	-	entD	1-771/771	===============	0/0	100.00	94.03	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
hw2/spades/scaffolds.fasta	NODE_13_length_119171_cov_73.139864	959	3199	-	fepA	1-2241/2241	===============	0/0	100.00	96.74	vfdb	NP_752600	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]	
hw2/spades/scaffolds.fasta	NODE_13_length_119171_cov_73.139864	3442	4644	+	fes	1-1203/1203	===============	0/0	100.00	96.76	vfdb	NP_752602	(fes) enterobactin/ferric enterobactin esterase [enterobactin (IA019)] [Escherichia coli CFT073]	
hw2/spades/scaffolds.fasta	NODE_13_length_119171_cov_73.139864	4862	8691	+	entF	1-3830/3882	===============	0/0	98.66	95.53	vfdb	NP_752604	(entF) enterobactin synthase multienzyme complex component ATP-dependent [Enterobactin (VF0228)] [Escherichia coli CFT073]	
hw2/spades/scaffolds.fasta	NODE_13_length_119171_cov_73.139864	10089	10904	-	fepC	1-816/816	===============	0/0	100.00	97.06	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
hw2/spades/scaffolds.fasta	NODE_13_length_119171_cov_73.139864	10901	11893	-	fepG	1-993/993	===============	0/0	100.00	94.66	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
